App,Repository,SHA,Tag,TestFilePath,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,codeChurnTotal_P,codeChurnMax_P,codeChurnAvg_P,commits_P,Contributors_P,minorContributors_P,contributorsExperience_P,addLinesCount_P,addLinesMax_P,addLinesAvg_P,removedLinesCount_P,removedLinesMax_P,removedLinesAvg_P,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,isRefactored
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,8aaafa8a43e719dc9b3bc9c9200655667098aec1,"3.0-pre4, 3.0-pre5",core/src/test/java/com/graphhopper/routing/weighting/custom/CustomModelParserTest.java,35,35,35,1,1,0,100.0,46,46,46,11,11,11,22.0,22.0,22.0,1.0,1.0,0.0,100.0,55.0,55.0,55.0,33.0,33.0,33.0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,15.0,2,0,2,0,7,0,110,11,13,83,0.24,26.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/subnetwork/TarjanSCCTest.java,-7,0,-2,3,1,0,100.0,15,8,5,22,12,7,-10.0,9.0,-5.0,2.0,1.0,0.0,100.0,25.0,21.0,12.0,35.0,23.0,18.0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,26.0,1,0,0,0,3,0,129,6,8,51,0.21,27.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/storage/index/LocationIndexTreeTest.java,-1,0,0,2,1,0,100.0,17,14,8,18,15,9,,,,,,,,,,,,,,24,10,4,0,0,0,0,0,0,0,0,0,0,0,,,2,1,0,0,16,0,390,26,40,193,0.12,46.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/DijkstraBidirectionCHTest.java,-2,-2,-2,1,1,0,100.0,7,7,7,9,9,9,,,,,,,,,,,,,,9,3,1,1,0,0,0,0,0,0,0,3,0,0,0.0,3.0,1,2,0,0,5,0,120,10,16,83,0.16,19.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/util/EncodingManagerTest.java,1,1,1,1,1,0,100.0,8,8,8,7,7,7,-27.0,-1.0,-14.0,2.0,1.0,0.0,100.0,87.0,86.0,44.0,114.0,112.0,57.0,11,6,2,0,0,0,2,0,0,0,0,1,0,0,9.0,49.0,4,0,0,0,11,0,191,19,38,75,0.21,40.0,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/DirectionResolverTest.java,1,1,1,1,1,0,100.0,7,7,7,6,6,6,,,,,,,,,,,,,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,17,0,238,24,31,104,0.0,0.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/ch/PrepareContractionHierarchiesTest.java,0,0,0,1,1,0,100.0,14,14,14,14,14,14,,,,,,,,,,,,,,29,5,3,0,0,0,0,12,0,0,0,0,0,0,1.0,9.0,1,2,0,0,14,0,364,29,47,194,0.1,38.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/lm/LMApproximatorTest.java,-10,-10,-10,1,1,0,100.0,9,9,9,19,19,19,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,103,2,5,30,0.02,2.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/util/FootFlagEncoderTest.java,0,0,0,1,1,0,100.0,14,14,14,14,14,14,,,,,,,,,,,,,,15,11,0,0,0,0,0,0,0,0,0,0,0,0,7.0,65.0,7,0,0,0,15,0,313,15,18,102,0.27,86.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/util/WheelchairFlagEncoderTest.java,0,0,0,1,1,0,100.0,9,9,9,9,9,9,,,,,,,,,,,,,,13,10,0,0,0,0,0,0,0,0,0,0,0,0,7.0,75.0,6,0,0,0,12,0,381,13,15,96,0.31,120.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/util/DepthFirstSearchTest.java,-1,-1,-1,1,1,0,100.0,11,11,11,12,12,12,,,,,,,,,,,,,,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0.0,2.0,0,0,0,0,2,0,65,7,14,34,0.12,8.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/subnetwork/EdgeBasedTarjanSCCTest.java,22,25,4,6,2,0,75.0,101,44,17,79,32,13,161.0,163.0,32.0,5.0,2.0,0.0,77.93,264.0,218.0,53.0,103.0,55.0,21.0,13,9,3,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,9,0,175,13,18,156,0.33,57.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,af3307d90c2dfa7773d2697587dde16bbc5e3f80,"3.0-pre3, 3.0-pre4",core/src/test/java/com/graphhopper/routing/subnetwork/PrepareRoutingSubnetworksTest.java,-10,2,-3,3,2,1,96.39,175,153,58,185,164,62,-103.0,0.0,-17.0,6.0,2.0,1.0,95.25,96.0,84.0,16.0,199.0,104.0,33.0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5.0,20.0,3,0,0,0,5,0,160,10,23,107,0.15,24.0,True
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,9ba4f2d1df0c115299b031020f5069bb4e5ac034,"3.0-pre1, 3.0-pre2",reader-osm/src/test/java/com/graphhopper/reader/osm/GraphHopperOSMTest.java,-9,0,-4,2,1,0,100.0,58,31,29,67,40,34,-63.0,-12.0,-32.0,2.0,1.0,0.0,100.0,4.0,4.0,2.0,67.0,55.0,34.0,33,27,5,0,0,0,10,0,0,0,0,4,0,0,0.0,0.0,9,1,0,4,28,0,700,42,96,575,,,False
graphhopper/graphhopper,https://github.com/graphhopper/graphhopper.git,3546c2ef8bcd74c128f6598a2b2c775e2f5c8d65,"2.0-pre2, 2.0-pre3",core/src/test/java/com/graphhopper/routing/ch/PrepareContractionHierarchiesTest.java,-12,-12,-12,1,1,0,100.0,25,25,25,37,37,37,3.0,12.0,2.0,2.0,1.0,0.0,100.0,84.0,66.0,42.0,81.0,54.0,40.0,32,7,1,0,0,0,0,12,0,0,0,0,0,0,1.0,9.0,1,2,0,0,16,0,439,38,63,198,0.1,42.0,False
