App,Repository,SHA,Tag,TestFilePath,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,codeChurnTotal_P,codeChurnMax_P,codeChurnAvg_P,commits_P,Contributors_P,minorContributors_P,contributorsExperience_P,addLinesCount_P,addLinesMax_P,addLinesAvg_P,removedLinesCount_P,removedLinesMax_P,removedLinesAvg_P,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,isRefactored
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",barcodes/src/test/java/com/itextpdf/barcodes/BarcodePDF417Test.java,-110,-55,-55,2,2,0,50.0,0,0,0,110,55,55,-70.0,-35.0,-35.0,2.0,2.0,0.0,50.0,0.0,0.0,0.0,70.0,35.0,35.0,22,4,0,0,0,0,8,0,0,0,0,0,0,0,19.0,48.0,0,0,0,0,20,0,227,22,37,109,0.07,16.0,False
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",kernel/src/test/java/com/itextpdf/kernel/colors/DeviceRgbTest.java,-76,-38,-38,2,2,0,50.0,0,0,0,76,38,38,-34.0,-17.0,-17.0,2.0,2.0,0.0,50.0,0.0,0.0,0.0,34.0,17.0,17.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,1,0,0,0,3,0,42,4,6,11,0.48,20.0,False
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",forms/src/test/java/com/itextpdf/forms/form/element/ListBoxFieldTest.java,99,99,99,1,1,0,100.0,99,99,99,0,0,0,-14.0,0.0,-7.0,2.0,2.0,0.0,77.78,2.0,2.0,1.0,16.0,14.0,8.0,17,1,0,0,0,0,16,0,0,0,0,0,0,0,15.0,106.0,1,0,0,0,16,0,327,17,48,121,0.05,15.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",forms/src/test/java/com/itextpdf/forms/form/element/ComboBoxFieldTest.java,277,277,277,1,1,0,100.0,360,360,360,83,83,83,124.0,124.0,124.0,1.0,1.0,0.0,100.0,124.0,124.0,124.0,0.0,0.0,0.0,27,4,4,0,0,0,13,0,0,0,0,0,0,0,25.0,150.0,0,0,0,0,26,0,361,27,47,148,0.07,27.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",layout/src/test/java/com/itextpdf/layout/element/FlexContainerTest.java,15,8,8,2,1,0,100.0,59,31,30,44,23,22,,,,,,,,,,,,,,34,0,18,1,0,0,28,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,28,0,703,35,120,304,0.04,28.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",layout/src/test/java/com/itextpdf/layout/renderer/FlexUtilTest.java,588,587,294,2,2,1,98.17,594,588,297,6,5,3,237.0,135.0,47.0,5.0,3.0,1.0,54.59,418.0,231.0,84.0,181.0,96.0,36.0,114,80,99,0,0,0,2,0,0,0,0,0,0,0,0.0,22.0,12,0,3,0,110,0,1669,114,285,1287,0.27,457.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",layout/src/test/java/com/itextpdf/layout/properties/ContinuousContainerTest.java,426,586,106,4,3,1,78.08,635,586,159,209,163,52,118.0,85.0,24.0,5.0,4.0,2.0,83.33,140.0,85.0,28.0,22.0,19.0,4.0,29,0,13,0,0,0,27,0,0,0,0,0,0,0,0.0,0.0,0,27,0,0,27,0,79,29,59,7,0.01,1.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",kernel/src/test/java/com/itextpdf/kernel/crypto/PdfEncryptionTest.java,20,38,10,2,2,0,61.29,41,38,20,21,21,10,,,,,,,,,,,,,,47,9,3,0,0,0,33,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,34,0,355,47,115,174,0.03,9.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",forms/src/test/java/com/itextpdf/forms/XfdfReaderTest.java,65,65,65,1,1,0,100.0,75,75,75,10,10,10,194.0,193.0,97.0,2.0,2.0,1.0,98.85,228.0,226.0,114.0,34.0,33.0,17.0,54,0,0,0,0,0,53,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,53,0,484,54,161,262,0.11,53.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",layout/src/test/java/com/itextpdf/layout/element/MulticolContainerTest.java,1230,363,137,9,4,0,26.73,1410,364,157,180,129,20,45.0,36.0,11.0,4.0,4.0,0.0,42.35,65.0,36.0,16.0,20.0,14.0,5.0,69,1,11,0,0,0,61,0,0,0,0,0,0,0,1.0,0.0,0,43,1,0,62,0,463,69,161,125,0.04,20.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",commons/src/test/java/com/itextpdf/commons/utils/JsonUtilTest.java,-10,-5,-5,2,2,0,50.0,8,4,4,18,9,9,,,,,,,,,,,,,,36,1,0,0,0,0,25,0,0,0,0,0,0,0,6.0,32.0,0,0,4,0,26,0,387,36,82,151,0.09,33.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",commons/src/test/java/com/itextpdf/commons/utils/StringUtilTest.java,0,0,0,2,2,0,50.0,4,2,2,4,2,2,,,,,,,,,,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,10,0,103,10,11,28,0.73,75.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",commons/src/test/java/com/itextpdf/commons/utils/SystemUtilTest.java,0,0,0,2,2,0,50.0,4,2,2,4,2,2,,,,,,,,,,,,,,13,0,0,0,0,0,3,0,0,0,0,1,0,0,0.0,9.0,0,0,2,0,10,0,98,13,22,43,0.14,14.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",commons/src/test/java/com/itextpdf/commons/utils/ZipFileReaderTest.java,0,0,0,2,2,0,50.0,2,1,1,2,1,1,,,,,,,,,,,,,,16,11,0,0,0,0,11,0,0,0,0,0,0,0,4.0,13.0,0,0,1,0,14,0,90,16,33,42,0.23,21.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",commons/src/test/java/com/itextpdf/commons/utils/ZipFileWriterTest.java,0,0,0,2,2,0,50.0,14,7,7,14,7,7,,,,,,,,,,,,,,20,8,0,0,0,0,8,0,0,0,0,0,0,0,,,0,0,7,2,10,0,125,20,42,50,0.14,18.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",io/src/test/java/com/itextpdf/io/util/UrlUtilTest.java,-6,-3,-3,2,2,0,50.0,10,5,5,16,8,8,,,,,,,,,,,,,,7,1,0,0,0,0,5,0,1,0,0,0,0,0,0.0,2.0,0,0,1,2,5,0,45,7,14,27,0.16,7.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",kernel/src/test/java/com/itextpdf/kernel/pdf/PdfStreamTest.java,0,0,0,2,2,0,50.0,2,1,1,2,1,1,,,,,,,,,,,,,,18,3,1,0,0,0,16,0,0,0,0,0,0,0,11.0,37.0,0,0,1,0,16,0,199,18,47,131,0.08,16.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",styled-xml-parser/src/test/java/com/itextpdf/styledxmlparser/resolver/resource/ResourceResolverTest.java,0,0,0,2,2,0,50.0,2,1,1,2,1,1,,,,,,,,,,,,,,39,16,1,0,0,0,16,0,0,0,0,0,0,0,6.0,44.0,0,1,1,4,38,0,294,39,66,134,0.19,56.0,True
itext/itext7,https://github.com/itext/itext7.git,6923b692b477fed5f8c660abf35b3aa90097c8c5,"8.0.0, 8.0.1-android",styled-xml-parser/src/test/java/com/itextpdf/styledxmlparser/resolver/resource/UriResolverTest.java,0,0,0,2,2,0,50.0,4,2,2,4,2,2,,,,,,,,,,,,,,35,6,0,0,0,0,29,0,0,0,0,0,0,0,9.0,27.0,1,19,5,0,30,0,231,35,104,221,0.15,34.0,True
itext/itext7,https://github.com/itext/itext7.git,13943ad9d1bb17e7be1fd97dc296c1e71966e53e,"7.2.5, 8.0.0-android",sign/src/test/java/com/itextpdf/signatures/OcspClientBouncyCastleTest.java,0,3,0,2,1,0,100.0,3,3,2,3,3,2,,,,,,,,,,,,,,19,2,0,0,0,0,5,13,0,0,0,0,0,0,0.0,13.0,0,0,0,0,13,0,107,19,39,45,0.1,11.0,True
