App,Repository,SHA,Tag,TestFilePath,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,codeChurnTotal_P,codeChurnMax_P,codeChurnAvg_P,commits_P,Contributors_P,minorContributors_P,contributorsExperience_P,addLinesCount_P,addLinesMax_P,addLinesAvg_P,removedLinesCount_P,removedLinesMax_P,removedLinesAvg_P,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,isRefactored
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,416dc5e5e0c3d926bdb29fe5c86ab715f216a101,"7.15.0, 7.16.0",src/test/java/emissary/roll/RollManagerTest.java,2,2,2,1,1,0,100.0,9,9,9,7,7,7,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,0,0,0,59,7,17,34,0.14,8.0,False
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,416dc5e5e0c3d926bdb29fe5c86ab715f216a101,"7.15.0, 7.16.0",src/test/java/emissary/directory/DirectoryEntryMapTest.java,-12,-12,-12,1,1,0,100.0,1,1,1,13,13,13,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,10,0,0,0,159,12,21,64,0.35,56.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,416dc5e5e0c3d926bdb29fe5c86ab715f216a101,"7.15.0, 7.16.0",src/test/java/emissary/util/DateTimeFormatParserTest.java,-2,-2,-2,1,1,0,100.0,1,1,1,3,3,3,0.0,0.0,0.0,1.0,1.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,0,0,0,315,25,31,31,0.02,6.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,68ecb1376e6ee180e009b321512b666887fd57d3,"7.14.0, 7.15.0",src/test/java/emissary/server/mvc/adapters/RequestUtilTest.java,16,16,16,1,1,0,100.0,19,19,19,3,3,3,16.0,16.0,16.0,1.0,1.0,0.0,100.0,16.0,16.0,16.0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,0,0,43,5,5,29,0.37,16.0,False
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,68ecb1376e6ee180e009b321512b666887fd57d3,"7.14.0, 7.15.0",src/test/java/emissary/id/TikaFilePlaceTest.java,1,1,1,1,1,0,100.0,1,1,1,0,0,0,2.0,2.0,2.0,1.0,1.0,0.0,100.0,3.0,3.0,3.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,2,5,1,0.0,0.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,cef4ae5fc3c1f21a242509b08e81fea429a9ce91,"7.13.0, 7.14.0",src/test/java/emissary/server/mvc/internal/DeregisterPlaceActionTest.java,17,17,17,1,1,0,100.0,18,18,18,1,1,1,2.0,2.0,2.0,1.0,1.0,0.0,100.0,8.0,8.0,8.0,6.0,6.0,6.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,86,8,16,63,0.14,12.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,cef4ae5fc3c1f21a242509b08e81fea429a9ce91,"7.13.0, 7.14.0",src/test/java/emissary/server/mvc/internal/FailDirectoryActionTest.java,17,17,17,1,1,0,100.0,18,18,18,1,1,1,3.0,3.0,3.0,1.0,1.0,0.0,100.0,13.0,13.0,13.0,10.0,10.0,10.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,78,7,16,61,0.13,10.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,cef4ae5fc3c1f21a242509b08e81fea429a9ce91,"7.13.0, 7.14.0",src/test/java/emissary/server/mvc/internal/RegisterPeerActionTest.java,17,17,17,1,1,0,100.0,18,18,18,1,1,1,3.0,3.0,3.0,1.0,1.0,0.0,100.0,6.0,6.0,6.0,3.0,3.0,3.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,70,7,14,58,0.14,10.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,cef4ae5fc3c1f21a242509b08e81fea429a9ce91,"7.13.0, 7.14.0",src/test/java/emissary/server/mvc/internal/WorkSpaceClientSpaceTakeActionTest.java,18,18,18,1,1,0,100.0,19,19,19,1,1,1,3.0,3.0,3.0,1.0,1.0,0.0,100.0,6.0,6.0,6.0,3.0,3.0,3.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,74,7,15,64,0.18,13.0,True
NationalSecurityAgency/emissary,https://github.com/NationalSecurityAgency/emissary.git,505a143a372fc431ae81d77a453c44e7c0a54ffc,"7.12.0, 7.13.0",src/test/java/emissary/core/IBaseDataObjectHelperTest.java,-259,-259,-259,1,1,0,100.0,0,0,0,259,259,259,-198.0,-198.0,-198.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,198.0,198.0,198.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,27,0,0,0,178,31,65,73,0.04,8.0,True
